"table_name","column_name","data_type","constraint_type","foreign_table"
"P3_Predictions","play_id","text",,
"P3_Predictions","session_id","text",,
"P3_Predictions","pitch_uid","text","PRIMARY KEY","P3_Predictions"
"P3_Predictions","extension","double precision",,
"P3_Predictions","horz_appr_angle","double precision",,
"P3_Predictions","horz_break","double precision",,
"P3_Predictions","horz_rel_angle","double precision",,
"P3_Predictions","induced_vert_break","double precision",,
"P3_Predictions","plate_loc_height","double precision",,
"P3_Predictions","plate_loc_side","double precision",,
"P3_Predictions","rel_height","double precision",,
"P3_Predictions","rel_side","double precision",,
"P3_Predictions","rel_speed","double precision",,
"P3_Predictions","spin_axis","double precision",,
"P3_Predictions","spin_efficiency","double precision",,
"P3_Predictions","spin_direction","text",,
"P3_Predictions","spin_rate","double precision",,
"P3_Predictions","tilt","text",,
"P3_Predictions","vert_appr_angle","double precision",,
"P3_Predictions","vert_break","double precision",,
"P3_Predictions","vert_rel_angle","double precision",,
"P3_Predictions","is_warmup","boolean",,
"P3_Predictions","date","date",,
"P3_Predictions","pitcher_name","text",,
"P3_Predictions","pitcher_id","text",,
"P3_Predictions","pitcher_throws","text",,
"P3_Predictions","pitch_number","integer",,
"P3_Predictions","tagged_pitch_type","text",,
"P3_Predictions","time","text",,
"P3_Predictions","year","integer","FOREIGN KEY","stuff_plus_scaling"
"P3_Predictions","pitch_type","text",,
"P3_Predictions","release_speed","double precision",,
"P3_Predictions","release_spin_rate","double precision",,
"P3_Predictions","release_extension","double precision",,
"P3_Predictions","release_pos_z","double precision",,
"P3_Predictions","release_pos_x","double precision",,
"P3_Predictions","pfx_x_inches","double precision",,
"P3_Predictions","pfx_z_inches","double precision",,
"P3_Predictions","firstname","text",,
"P3_Predictions","lastname","text",,
"P3_Predictions","p_throws","text",,
"P3_Predictions","arm_slot_Vector","double precision",,
"P3_Predictions","avg_fastball_speed","double precision",,
"P3_Predictions","avg_fastball_pfx_z","double precision",,
"P3_Predictions","avg_fastball_pfx_x","double precision",,
"P3_Predictions","speed_diff","double precision",,
"P3_Predictions","pfx_z_diff","double precision",,
"P3_Predictions","pfx_x_diff","double precision",,
"P3_Predictions","predicted_target","double precision",,
"P3_Predictions","stuff_plus","double precision",,
"stuff_plus_predictions","game_date","date",,
"stuff_plus_predictions","year","integer","FOREIGN KEY","stuff_plus_scaling"
"stuff_plus_predictions","pitch_number","double precision",,
"stuff_plus_predictions","pitcher","double precision",,
"stuff_plus_predictions","player_name","text",,
"stuff_plus_predictions","pitch_type","text",,
"stuff_plus_predictions","p_throws","text",,
"stuff_plus_predictions","stand","text",,
"stuff_plus_predictions","release_speed","double precision",,
"stuff_plus_predictions","release_spin_rate","double precision",,
"stuff_plus_predictions","release_extension","double precision",,
"stuff_plus_predictions","release_pos_x","double precision",,
"stuff_plus_predictions","release_pos_z","double precision",,
"stuff_plus_predictions","pfx_x","double precision",,
"stuff_plus_predictions","pfx_z","double precision",,
"stuff_plus_predictions","plate_x","double precision",,
"stuff_plus_predictions","plate_z","double precision",,
"stuff_plus_predictions","zone","double precision",,
"stuff_plus_predictions","description","text",,
"stuff_plus_predictions","predicted_target","double precision",,
"stuff_plus_predictions","pfx_x_inches","double precision",,
"stuff_plus_predictions","pfx_z_inches","double precision",,
"stuff_plus_predictions","arm_slot_Vector","double precision",,
"stuff_plus_predictions","speed_diff","double precision",,
"stuff_plus_predictions","pfx_z_diff","double precision",,
"stuff_plus_predictions","pfx_x_diff","double precision",,
"stuff_plus_predictions","stuff_plus","double precision",,
"stuff_plus_predictions","id","bigint","PRIMARY KEY","stuff_plus_predictions"
"stuff_plus_scaling","year","integer","PRIMARY KEY","stuff_plus_scaling"
"stuff_plus_scaling","mean_predicted_target","double precision",,
"stuff_plus_scaling","sd_predicted_target","double precision",,
"stuff_plus_scaling","n_pitches","bigint",,
"stuff_plus_scaling","updated_at","timestamp without time zone",,
"vald_assessments","testid","text",,
"vald_assessments","trialid","text","PRIMARY KEY","vald_assessments"
"vald_assessments","athleteid","text","FOREIGN KEY","vald_athletes"
"vald_assessments","hubathleteid","text",,
"vald_assessments","recordedutc","text",,
"vald_assessments","recordedoffset","integer",,
